kind,batch_size,backend,name,median_ms,relative_error
gram_bmm,1,Gluon,gluon_128x64x32_w4,3.899392008781433,0.000375355186406523
gram_bmm,1,Torch,torch,0.6533120274543762,0.0
gram_bmm,1,Triton,triton,0.8268799781799316,0.00037535326555371284
gram_bmm,8,Gluon,gluon_128x128x32_w4,24.08089542388916,1.9938954210374504e-05
gram_bmm,8,Torch,torch,3.7898240089416504,0.0
gram_bmm,8,Triton,triton,4.386816024780273,0.0
gram_bmm,32,Gluon,gluon_128x128x32_w4,91.53843307495117,2.008471892622765e-05
gram_bmm,32,Torch,torch,18.082304000854492,0.0
gram_bmm,32,Triton,triton,17.674752235412598,0.0
square_baddbmm,1,Gluon,gluon_128x64x32_w4,0.506879985332489,1.3976055925013497e-05
square_baddbmm,1,Torch,torch,0.10751999914646149,0.0
square_baddbmm,1,Triton,triton,0.10649599879980087,0.0
square_baddbmm,8,Gluon,gluon_128x128x32_w4,3.2885760068893433,1.451123443985125e-05
square_baddbmm,8,Torch,torch,0.5949440002441406,0.0
square_baddbmm,8,Triton,triton,0.596992015838623,0.0
square_baddbmm,32,Gluon,gluon_128x128x32_w4,12.44108772277832,1.4447976354858838e-05
square_baddbmm,32,Torch,torch,2.4791040420532227,0.0
square_baddbmm,32,Triton,triton,2.360832095146179,0.0
tall_bmm,1,Gluon,gluon_128x128x32_w4,3.292672038078308,1.4591888430004474e-05
tall_bmm,1,Torch,torch,0.5319679975509644,0.0
tall_bmm,1,Triton,triton,0.5980160236358643,0.0
tall_bmm,8,Gluon,gluon_128x128x32_w4,24.820735931396484,1.4398595340026077e-05
tall_bmm,8,Torch,torch,3.993087887763977,0.0
tall_bmm,8,Triton,triton,4.764159917831421,0.0
tall_bmm,32,Gluon,gluon_128x128x32_w4,98.99161529541016,1.4434477634495124e-05
tall_bmm,32,Torch,torch,16.33945655822754,0.0
tall_bmm,32,Triton,triton,19.35923194885254,0.0
