device,compute_capability,batch_size,standard_ms,gns_ms,speedup,gns_method
NVIDIA A100-SXM4-80GB,SM80,1,7.268,4.592,1.583,Triton
NVIDIA A100-SXM4-80GB,SM80,2,13.833,8.034,1.722,Torch eager
NVIDIA A100-SXM4-80GB,SM80,4,27.421,15.952,1.719,Torch eager
NVIDIA A100-SXM4-80GB,SM80,8,54.221,31.357,1.729,Torch eager
NVIDIA A100-SXM4-80GB,SM80,16,108.652,62.294,1.744,Torch eager
NVIDIA A100-SXM4-80GB,SM80,32,234.271,132.731,1.765,Triton
NVIDIA H100 80GB HBM3,SM90,1,2.724,1.327,2.053,upstream Quack GNS kernel
NVIDIA H100 80GB HBM3,SM90,2,5.433,2.614,2.078,upstream Quack GNS kernel
NVIDIA H100 80GB HBM3,SM90,4,11.484,4.724,2.431,upstream Quack GNS kernel
NVIDIA H100 80GB HBM3,SM90,8,22.723,8.981,2.53,upstream Quack GNS kernel
NVIDIA H100 80GB HBM3,SM90,16,45.062,17.208,2.619,upstream Quack GNS kernel
NVIDIA H100 80GB HBM3,SM90,32,91.005,35.482,2.565,upstream Quack GNS kernel
